transaction_hash,block_number,sandwich_id,transaction_log_index,type,sandwicher,victim,profit_raw,profit_amount_in_usd,cost_in_usd,protocols
0xcb0c26f1996a81221e91d579dd4a50e3a73fd1accac856def7be2f866ddca65a,22285339,0x128140e4540457b4e0c94a3e19be40e267726f3c624a2c767c384a4f453063d7,0,front,0x00000000a991c429ee2ec6df19d40fe0c80088b8,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""103575524344856576"",""additionalAmount"":""-94418022709592064""}]",163.80805384034807,15.147129724299976,{UniswapV2}
0xd9f130c65db61e4d3ae47ea7d717ab38771661cd302d1f3df97b56967dacd900,22285339,0x128140e4540457b4e0c94a3e19be40e267726f3c624a2c767c384a4f453063d7,1,victim,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x00000000a991c429ee2ec6df19d40fe0c80088b8,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""103575524344856576"",""additionalAmount"":""-94418022709592064""}]",163.80805384034807,15.147129724299976,{UniswapV2}
0x99dd7887c2c7215af0125dad26be4cc10a613d7912dc130abb9761301f5d265f,22285339,0x128140e4540457b4e0c94a3e19be40e267726f3c624a2c767c384a4f453063d7,2,back,0x00000000a991c429ee2ec6df19d40fe0c80088b8,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""103575524344856576"",""additionalAmount"":""-94418022709592064""}]",163.80805384034807,15.147129724299976,{UniswapV2}
0x29c7ae47bbf41c20b5ac6f4cd450e62e6424dd67d1f3be0c0af900f7a7e0ed45,21519228,0x29497c8ba5e7523b79526f2a44ca21d0adeb2bd677e77d9723c63039a7afde8d,0,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0"",""amount"":""14014138083476435317"",""additionalAmount"":""-14014128882809082301""}]",6.44676645446071,5.955769493180195,{UniswapV3}
0x8002233e50e24f876cd37ede43c1f15b88e15c4fff25f41a078b810a27d08f64,21519228,0x29497c8ba5e7523b79526f2a44ca21d0adeb2bd677e77d9723c63039a7afde8d,1,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0"",""amount"":""14014138083476435317"",""additionalAmount"":""-14014128882809082301""}]",6.44676645446071,5.955769493180195,{UniswapV3}
0x6d070b7500c4e90999ea5e7cad5cd3d2ccc7506b166090ad656d67bf1f4a805b,21519228,0x29497c8ba5e7523b79526f2a44ca21d0adeb2bd677e77d9723c63039a7afde8d,2,back,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0"",""amount"":""14014138083476435317"",""additionalAmount"":""-14014128882809082301""}]",6.44676645446071,5.955769493180195,{UniswapV3}
0x1afa80245bc60d97553c9ae577f0849ff6c8e1e12fc74847142535ceb27b2be3,21519232,0xb799db87e80b74e1f6eeb3308c9738362b72d32e6c47b78c181398b00b75eefe,6,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xe060031495658d7f1a1dbaaccf90fe870b4ffd58"",""amount"":""1556011471077376"",""additionalAmount"":""-270454744940544""}]",0,4.333765751238895,{UniswapV2}
0x001a64970228c695bff76c4208d55676d846e272f0c10d3639349118dc96d2d3,21519232,0xb799db87e80b74e1f6eeb3308c9738362b72d32e6c47b78c181398b00b75eefe,8,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xe060031495658d7f1a1dbaaccf90fe870b4ffd58"",""amount"":""1556011471077376"",""additionalAmount"":""-270454744940544""}]",0,4.333765751238895,{UniswapV2}
0x31767c2dc404cdcfc178e105040bef3a3fd0bac12099a7637769474762243946,21519232,0xb799db87e80b74e1f6eeb3308c9738362b72d32e6c47b78c181398b00b75eefe,9,back,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xe060031495658d7f1a1dbaaccf90fe870b4ffd58"",""amount"":""1556011471077376"",""additionalAmount"":""-270454744940544""}]",0,4.333765751238895,{UniswapV2}
0x399325303200d80d459ae31f951ca9dc5f1c0545b846162ea2587e0f5a7a6c9a,21519235,0xc0c3dfedb8c2f23faf1975d9b718c0960897c0375c23168e8d08f74eb324fdd8,4,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xb12907dcd65e09871bbd6f1659436f3be310af65"",""amount"":383958838687,""additionalAmount"":-383935227089}]",0,23.859713678317938,{UniswapV3}
