event_log_index,block_number,transaction_hash,asset_in,asset_out,from,to,amount_out,amount_in,protocol,metadata
2,21519228,0x29c7ae47bbf41c20b5ac6f4cd450e62e6424dd67d1f3be0c0af900f7a7e0ed45,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,400756571,878360030379640265241,UniswapV2,"{""tick"":-284250,""liquidity"":""54568479794897031"",""squareRootPriceX96"":""5.3306312603740487005601e+22""}"
7,21519228,0x8002233e50e24f876cd37ede43c1f15b88e15c4fff25f41a078b810a27d08f64,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,400756571,878360030379640265241,UniswapV2,"{""tick"":-284250,""liquidity"":""54568479794897031"",""squareRootPriceX96"":""5.3306312603740487005601e+22""}"
19,21519228,0x6d070b7500c4e90999ea5e7cad5cd3d2ccc7506b166090ad656d67bf1f4a805b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,878360039580307618257,394362548,UniswapV2,"{""tick"":-284255,""liquidity"":""54568479794897031"",""squareRootPriceX96"":""5.3293867070634554608918e+22""}"
25,21519232,0x1afa80245bc60d97553c9ae577f0849ff6c8e1e12fc74847142535ceb27b2be3,0xe060031495658d7f1a1dbaaccf90fe870b4ffd58,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,467313396547584,47469106101747712,UniswapV2,null
38,21519232,0x001a64970228c695bff76c4208d55676d846e272f0c10d3639349118dc96d2d3,0xe060031495658d7f1a1dbaaccf90fe870b4ffd58,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,467313396547584,47469106101747712,UniswapV2,null
43,21519232,0x31767c2dc404cdcfc178e105040bef3a3fd0bac12099a7637769474762243946,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe060031495658d7f1a1dbaaccf90fe870b4ffd58,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,48754662827884544,467313379770368,UniswapV2,null
24,21519235,0x399325303200d80d459ae31f951ca9dc5f1c0545b846162ea2587e0f5a7a6c9a,0xb12907dcd65e09871bbd6f1659436f3be310af65,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,113823687809177747456,383935227089,UniswapV2,"{""tick"":194919,""liquidity"":""299362814539189749"",""squareRootPriceX96"":""1.352982936072181646735824779412038e+33""}"
35,21519235,0xa7b23300bf11a003ce64df4c1f7b78b45feca6d3af5d4854c9d67c4581fe125c,0xb12907dcd65e09871bbd6f1659436f3be310af65,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,113823687809177747456,383935227089,UniswapV2,"{""tick"":194919,""liquidity"":""299362814539189749"",""squareRootPriceX96"":""1.352982936072181646735824779412038e+33""}"
55,21519235,0x8ed7f5d8bcd22829dc55452070a8c9afe60354d1666e4b17c62e667cdaae9bf2,0xb12907dcd65e09871bbd6f1659436f3be310af65,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,113823687809177747456,383935227089,UniswapV2,"{""tick"":194919,""liquidity"":""299362814539189749"",""squareRootPriceX96"":""1.352982936072181646735824779412038e+33""}"
39,21519235,0xce62f34cad88957c4fe9ccc5b92a9219466af24e070108f811146f15257c8af0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb12907dcd65e09871bbd6f1659436f3be310af65,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,383958838687,113823685618744426496,UniswapV2,"{""tick"":195220,""liquidity"":""297514572966986600"",""squareRootPriceX96"":""1.373487316526871232999399883854609e+33""}"
